number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
0,0.6089365622852911,2024-03-30 18:51:32.774605,2024-03-30 18:52:16.969046,0 days 00:00:44.194441,3.596082104116294e-05,5,16,122,2.853534729680034e-06,COMPLETE
1,0.6031290969841944,2024-03-30 18:52:16.969928,2024-03-30 18:53:17.729043,0 days 00:01:00.759115,1.034201277759471e-05,10,64,486,0.0041791666026938755,COMPLETE
2,0.6105730771839368,2024-03-30 18:53:17.729967,2024-03-30 18:53:46.666201,0 days 00:00:28.936234,1.0400328234991402e-06,4,32,227,0.003981466379060987,COMPLETE
3,0.2768110616381958,2024-03-30 18:53:46.667147,2024-03-30 18:54:13.799416,0 days 00:00:27.132269,0.000748185163396653,3,16,498,0.000836525965330554,COMPLETE
4,0.2996184999127412,2024-03-30 18:54:13.800144,2024-03-30 18:54:57.722084,0 days 00:00:43.921940,4.0980077128607433e-07,7,64,309,0.000850994614035113,COMPLETE
5,0.5767228045312456,2024-03-30 18:54:57.722870,2024-03-30 18:57:15.231352,0 days 00:02:17.508482,4.783182777284073e-06,10,8,484,0.008258165886265049,COMPLETE
6,0.18114143920595532,2024-03-30 18:57:15.232340,2024-03-30 18:58:10.262022,0 days 00:00:55.029682,0.0007002258659765505,4,8,419,0.00038474138204864074,COMPLETE
7,0.18114143920595532,2024-03-30 18:58:10.262804,2024-03-30 18:59:05.160509,0 days 00:00:54.897705,4.994348735936532e-07,4,8,350,2.433947321391141e-06,COMPLETE
8,0.18114143920595532,2024-03-30 18:59:05.161321,2024-03-30 19:00:13.295728,0 days 00:01:08.134407,2.021891195104539e-06,5,8,117,1.5958397960252532e-05,COMPLETE
9,0.18114143920595532,2024-03-30 19:00:13.296888,2024-03-30 19:01:08.395074,0 days 00:00:55.098186,1.9427219036946904e-05,4,8,311,0.004625891347736874,COMPLETE
10,0.18114143920595532,2024-03-30 19:01:08.396068,2024-03-30 19:01:16.348880,0 days 00:00:07.952812,1.115123483592484e-07,1,32,202,5.000214842074713e-05,COMPLETE
11,0.18114143920595532,2024-03-30 19:01:16.349567,2024-03-30 19:02:17.618209,0 days 00:01:01.268642,6.075668894801415e-05,7,16,26,1.5153721427545176e-06,COMPLETE
12,0.18114143920595532,2024-03-30 19:02:17.619101,2024-03-30 19:03:07.767840,0 days 00:00:50.148739,3.6727228978062906e-05,7,32,181,8.172451572332652e-06,COMPLETE
13,0.18114143920595532,2024-03-30 19:03:07.768558,2024-03-30 19:03:26.126916,0 days 00:00:18.358358,9.883655381328829e-05,2,16,101,0.00010264158692326634,COMPLETE
14,0.18114143920595532,2024-03-30 19:03:26.127872,2024-03-30 19:04:08.969697,0 days 00:00:42.841825,1.8673845526412632e-06,6,32,231,0.00012568231776292614,COMPLETE
15,0.18114143920595532,2024-03-30 19:04:08.970519,2024-03-30 19:04:53.122045,0 days 00:00:44.151526,0.00017318135932820362,5,16,125,9.508633576089031e-06,COMPLETE
16,0.18114143920595532,2024-03-30 19:04:53.122921,2024-03-30 19:05:07.990783,0 days 00:00:14.867862,3.0688840430521855e-06,2,32,1,0.0015209093631000485,COMPLETE
17,0.18114143920595532,2024-03-30 19:05:07.991622,2024-03-30 19:06:17.785432,0 days 00:01:09.793810,7.458171592914618e-07,8,16,164,3.9200109351645134e-05,COMPLETE
18,0.18114143920595532,2024-03-30 19:06:17.786292,2024-03-30 19:06:39.578989,0 days 00:00:21.792697,1.0435905130894117e-07,3,32,69,0.0002090793579593673,COMPLETE
19,0.18114143920595532,2024-03-30 19:06:39.579812,2024-03-30 19:07:16.956857,0 days 00:00:37.377045,8.14712992090027e-06,6,64,278,3.1269644204751063e-06,COMPLETE
20,0.18114143920595532,2024-03-30 19:07:16.957860,2024-03-30 19:08:26.831192,0 days 00:01:09.873332,3.0416562259886177e-05,8,16,382,1.0009304373154817e-06,COMPLETE
21,0.18114143920595532,2024-03-30 19:08:26.832102,2024-03-30 19:09:28.506881,0 days 00:01:01.674779,1.8686062847221012e-05,10,64,214,0.0036951846828694765,COMPLETE
22,0.18114143920595532,2024-03-30 19:09:28.507574,2024-03-30 19:09:59.899987,0 days 00:00:31.392413,7.996743135365157e-06,5,64,263,0.0017488575965122245,COMPLETE
23,0.18114143920595532,2024-03-30 19:09:59.900970,2024-03-30 19:10:55.416703,0 days 00:00:55.515733,0.0002502806823179568,9,64,432,0.0003877147472460626,COMPLETE
24,0.18114143920595532,2024-03-30 19:10:55.417687,2024-03-30 19:11:17.308482,0 days 00:00:21.890795,8.875937850844189e-07,3,32,143,0.007999311050728156,COMPLETE
25,0.18114143920595532,2024-03-30 19:11:17.309615,2024-03-30 19:11:54.459527,0 days 00:00:37.149912,1.3397938127589098e-05,6,64,69,0.002527024029989825,COMPLETE
26,0.18114143920595532,2024-03-30 19:11:54.460488,2024-03-30 19:12:49.922872,0 days 00:00:55.462384,2.375173050296251e-07,9,64,297,2.6951529426504484e-05,COMPLETE
27,0.18114143920595532,2024-03-30 19:12:49.924145,2024-03-30 19:13:18.749192,0 days 00:00:28.825047,4.635329024339027e-06,4,32,358,0.000733336746987249,COMPLETE
28,0.18114143920595532,2024-03-30 19:13:18.750202,2024-03-30 19:14:02.937628,0 days 00:00:44.187426,4.5326003437412734e-05,5,16,246,0.004564052472761854,COMPLETE
29,0.18074534161490682,2024-03-30 19:14:02.938440,2024-03-30 19:14:21.113355,0 days 00:00:18.174915,0.00012541246064727937,2,16,493,5.015817986706438e-06,COMPLETE
30,0.18114143920595532,2024-03-30 19:14:21.114293,2024-03-30 19:14:40.150795,0 days 00:00:19.036502,0.00039063713774891524,3,64,174,0.0006363438250699346,COMPLETE
31,0.4100128671572291,2024-03-30 19:14:40.151734,2024-03-30 19:16:55.321536,0 days 00:02:15.169802,5.566171846657618e-06,10,8,491,0.00953667414203978,COMPLETE
32,0.4428344979296066,2024-03-30 19:16:55.322400,2024-03-30 19:18:57.365264,0 days 00:02:02.042864,2.6928102683036853e-06,9,8,452,0.006594115936217464,COMPLETE
33,0.43838484635047925,2024-03-30 19:18:57.366164,2024-03-30 19:21:15.942820,0 days 00:02:18.576656,1.4359107555115978e-05,10,8,456,0.00140322909284976,COMPLETE
34,0.44324136008918624,2024-03-30 19:21:15.943679,2024-03-30 19:23:29.044989,0 days 00:02:13.101310,1.3420815901110775e-06,8,8,353,0.0026050881006168787,COMPLETE
35,0.4241467569211012,2024-03-30 19:23:29.046021,2024-03-30 19:25:32.038287,0 days 00:02:02.992266,4.560223375296791e-06,9,8,465,0.009715999134816177,COMPLETE
36,0.42948619650582287,2024-03-30 19:25:32.039540,2024-03-30 19:26:00.933986,0 days 00:00:28.894446,4.0262406392750696e-07,4,32,81,0.00031887039017752393,COMPLETE
37,0.41893410218235166,2024-03-30 19:26:00.934984,2024-03-30 19:27:02.388660,0 days 00:01:01.453676,1.0911073700665686e-06,7,16,418,0.002898693954612753,COMPLETE
38,0.3842558794185149,2024-03-30 19:27:02.389643,2024-03-30 19:27:57.331920,0 days 00:00:54.942277,2.6219527104992996e-05,4,8,390,0.0011305781300391185,COMPLETE
39,0.4587244108284905,2024-03-30 19:27:57.332914,2024-03-30 19:28:59.421722,0 days 00:01:02.088808,7.68998061461382e-05,10,64,333,0.004593768628121436,COMPLETE
40,0.18114143920595532,2024-03-30 19:28:59.422562,2024-03-30 19:29:42.559697,0 days 00:00:43.137135,0.0008502080131713015,6,32,398,0.006302605587521874,COMPLETE
41,0.18114143920595532,2024-03-30 19:29:42.560469,2024-03-30 19:30:44.777315,0 days 00:01:02.216846,5.530101952027796e-05,10,64,469,0.005193696000501135,COMPLETE
42,0.18114143920595532,2024-03-30 19:30:44.778021,2024-03-30 19:31:46.814867,0 days 00:01:02.036846,1.0273664476310495e-05,10,64,303,0.0022170720903561024,COMPLETE
43,0.05226480836236934,2024-03-30 19:31:46.815953,2024-03-30 19:32:42.305425,0 days 00:00:55.489472,8.666404673539928e-05,9,64,327,0.0010313865256506968,COMPLETE
44,0.18114143920595532,2024-03-30 19:32:42.306429,2024-03-30 19:33:31.681360,0 days 00:00:49.374931,7.293178221024262e-05,8,64,202,0.004056868413169274,COMPLETE
45,0.4341370195607149,2024-03-30 19:33:31.682328,2024-03-30 19:34:58.897988,0 days 00:01:27.215660,1.9551082333694265e-05,10,16,423,1.6283866945378465e-05,COMPLETE
46,0.4582388684790654,2024-03-30 19:34:58.898914,2024-03-30 19:36:36.942460,0 days 00:01:38.043546,3.063861030762907e-06,7,8,43,6.601991181693585e-05,COMPLETE
47,0.4509372498441707,2024-03-30 19:36:36.943513,2024-03-30 19:37:05.681394,0 days 00:00:28.737881,4.7131443072376555e-07,4,32,148,0.0004986382074498444,COMPLETE
48,0.42228796216721576,2024-03-30 19:37:05.682249,2024-03-30 19:37:12.815291,0 days 00:00:07.133042,0.0001462112667475871,1,64,276,0.0032898199435016408,COMPLETE
49,0.4348514698386328,2024-03-30 19:37:12.816110,2024-03-30 19:37:57.349135,0 days 00:00:44.533025,3.685569834520352e-05,5,16,338,0.00179100613947362,COMPLETE
